signal_date,ts_code,composite_score,target_weight
2021-02-01,300866.SZ,0.6995133819951338,0.045
2021-02-01,300782.SZ,0.683698296836983,0.045
2021-02-01,601225.SH,0.6812652068126521,0.045
2021-02-01,600406.SH,0.6800486618004866,0.045
2021-02-01,603501.SH,0.670316301703163,0.045
2021-02-01,601138.SH,0.6630170316301703,0.045
2021-02-01,600690.SH,0.6581508515815085,0.045
2021-02-01,002466.SZ,0.6532846715328468,0.045
2021-02-01,000999.SZ,0.645985401459854,0.045
2021-02-01,002236.SZ,0.6435523114355232,0.045
2021-02-01,000725.SZ,0.6399026763990269,0.045
2021-02-01,603259.SH,0.6399026763990268,0.045
2021-02-01,000002.SZ,0.6350364963503649,0.045
2021-02-01,300759.SZ,0.6338199513381996,0.045
2021-02-01,600036.SH,0.6338199513381995,0.045
2021-02-01,600519.SH,0.6326034063260341,0.045
2021-02-01,000301.SZ,0.6289537712895378,0.045
2021-02-01,002027.SZ,0.6216545012165451,0.045
2021-02-01,603288.SH,0.621654501216545,0.045
2021-02-01,601088.SH,0.6204379562043796,0.045
2021-03-08,000002.SZ,0.6960873765564619,0.045
2021-03-08,601607.SH,0.6892443108630313,0.045
2021-03-08,600018.SH,0.6882424502647774,0.045
2021-03-08,600048.SH,0.6790825819378846,0.045
2021-03-08,001965.SZ,0.6773740518105053,0.045
2021-03-08,000425.SZ,0.6722842421640189,0.045
2021-03-08,002463.SZ,0.6696006869901244,0.045
2021-03-08,601668.SH,0.668911907828825,0.045
2021-03-08,000617.SZ,0.6615947473880063,0.045
2021-03-08,002001.SZ,0.6615768570201803,0.045
2021-03-08,002422.SZ,0.6612190496636611,0.045
2021-03-08,001979.SZ,0.6586786174323743,0.045
2021-03-08,600362.SH,0.6559324459710891,0.045
2021-03-08,002028.SZ,0.6544028195219694,0.045
2021-03-08,601390.SH,0.6527837412337197,0.045
2021-03-08,000999.SZ,0.6506816230141692,0.045
2021-03-08,600377.SH,0.6489641477028768,0.045
2021-03-08,601816.SH,0.6453860741376843,0.045
2021-03-08,601111.SH,0.6412802347216259,0.045
2021-03-08,002736.SZ,0.6354211392586232,0.045
2021-04-06,600741.SH,0.8354678573656676,0.045
2021-04-06,600377.SH,0.817487054713332,0.045
